guid,gid,uid,vid
162,5858,3054,120
162,4978,3054,4
163,4977,1596,12
163,4998,1596,29
163,5991,1596,282
163,5092,1596,107
163,5919,1596,414
163,5838,1596,26
163,4997,1596,439
163,5459,1596,620
163,5098,1596,111
163,5092,1596,107
163,4998,1596,29
163,5098,1596,111
163,5991,1596,282
163,4977,1596,12
163,6011,1596,937
163,4997,1596,439
163,5838,1596,26
163,5459,1596,620
163,5919,1596,414
164,5768,2180,466
164,5991,2180,282
164,4998,2180,29
164,4834,2180,281
164,4996,2180,73
164,4997,2180,439
164,5661,2180,75
164,5991,2180,282
164,5359,2180,819
164,5669,2180,1129
165,4984,2582,5
165,5838,2582,26
165,5938,2582,27
165,5139,2582,8
165,5262,2582,564
165,5196,2582,221
165,5843,2582,1
165,4998,2582,29
166,4996,3219,73
166,5285,3219,0
166,5938,3219,27
167,5309,2534,70
167,5900,2534,2
167,5903,2534,3
167,5938,2534,27
167,5776,2534,30
167,5900,2534,2
167,5903,2534,3
167,5309,2534,70
168,5092,2097,107
168,5098,2097,111
168,5145,2097,51
168,5099,2097,186
168,5145,2097,51
168,5099,2097,186
168,5127,2097,264
168,5098,2097,111
168,5187,2097,668
168,5248,2097,680
168,5092,2097,107
169,5843,2280,1
169,5903,2280,3
169,5838,2280,26
169,4977,2280,12
169,4984,2280,5
169,5903,2280,3
169,5900,2280,2
169,5843,2280,1
169,4978,2280,4
170,5390,3499,541
171,5390,2819,541
171,5859,2819,645
171,5950,2819,759
171,5524,2819,108
171,4819,2819,393
171,5937,2819,35
172,5859,2563,645
172,5520,2563,364
172,5937,2563,35
172,5950,2563,759
172,4819,2563,393
172,5004,2563,828
172,5390,2563,541
172,4793,2563,493
173,5859,2453,645
173,5388,2453,770
173,5937,2453,35
173,5524,2453,108
173,5004,2453,828
173,5950,2453,759
173,4819,2453,393
173,5468,2453,318
173,5390,2453,541
174,4793,3336,493
174,5468,3336,318
174,5937,3336,35
175,5427,3370,704
175,4793,3370,493
176,5427,3518,704
177,4793,2623,493
177,5859,2623,645
177,5524,2623,108
177,5926,2623,208
177,5468,2623,318
177,5388,2623,770
177,5937,2623,35
177,5950,2623,759
178,4793,2352,493
178,5390,2352,541
178,4819,2352,393
178,6012,2352,709
178,5388,2352,770
178,5285,2352,0
178,5753,2352,594
178,5937,2352,35
178,5926,2352,208
179,5937,2818,35
179,5390,2818,541
179,4819,2818,393
179,5388,2818,770
179,5926,2818,208
179,5859,2818,645
180,4819,2165,393
180,5926,2165,208
180,5388,2165,770
180,5468,2165,318
180,4793,2165,493
180,5753,2165,594
180,5937,2165,35
180,5390,2165,541
180,5285,2165,0
180,5930,2165,72
181,4819,2711,393
181,5930,2711,72
181,4793,2711,493
181,5926,2711,208
181,5937,2711,35
181,5390,2711,541
181,5388,2711,770
182,5937,3354,35
182,5930,3354,72
183,5390,2883,541
183,5930,2883,72
183,5937,2883,35
183,5859,2883,645
183,5468,2883,318
183,5388,2883,770
184,4793,2500,493
184,5388,2500,770
184,5390,2500,541
184,5937,2500,35
184,5950,2500,759
184,5926,2500,208
184,6012,2500,709
184,5468,2500,318
185,4979,2793,7
185,5903,2793,3
185,4984,2793,5
185,5838,2793,26
185,5900,2793,2
185,5876,2793,671
186,5877,3272,64
186,5900,3272,2
186,5938,3272,27
187,5929,3045,77
187,5776,3045,30
187,5459,3045,620
187,5858,3045,120
187,4996,3045,73
188,5012,3022,1042
188,5930,3022,72
188,6019,3022,685
188,5014,3022,773
188,5877,3022,64
189,4813,2373,1016
189,5858,2373,120
189,5026,2373,634
189,5026,2373,634
189,5450,2373,348
189,5489,2373,261
189,5538,2373,407
189,5903,2373,3
189,5858,2373,120
190,5843,2037,1
190,5655,2037,174
190,5903,2037,3
190,5903,2037,3
190,5122,2037,152
190,5138,2037,127
190,5657,2037,125
190,5900,2037,2
190,4984,2037,5
190,5655,2037,174
190,5843,2037,1
190,5938,2037,27
191,5831,2981,628
191,5900,2981,2
191,4978,2981,4
191,4977,2981,12
191,5858,2981,120
192,5843,2540,1
192,5903,2540,3
192,5877,2540,64
192,5900,2540,2
192,5776,2540,30
192,4979,2540,7
192,5900,2540,2
192,5776,2540,30
193,5135,2695,536
193,5144,2695,369
193,5123,2695,458
193,5119,2695,1017
193,5145,2695,51
193,5489,2695,261
193,5145,2695,51
194,5903,2022,3
194,5843,2022,1
194,5900,2022,2
194,5877,2022,64
194,5944,2022,550
194,5285,2022,0
194,5900,2022,2
194,4978,2022,4
194,5843,2022,1
194,4979,2022,7
194,5903,2022,3
194,5838,2022,26
195,5831,2933,628
195,5858,2933,120
195,4978,2933,4
195,5831,2933,628
195,5657,2933,125
196,5834,2776,164
196,5877,2776,64
196,5900,2776,2
196,5145,2776,51
196,5903,2776,3
196,4984,2776,5
197,5858,2648,120
197,5903,2648,3
197,5776,2648,30
197,4977,2648,12
197,5858,2648,120
197,5900,2648,2
197,5421,2648,49
198,4977,3460,12
199,5487,2013,582
199,4834,2013,281
199,5424,2013,378
199,5487,2013,582
199,5213,2013,878
199,4910,2013,750
199,5302,2013,65
199,5322,2013,165
199,5162,2013,422
199,4868,2013,800
199,4834,2013,281
199,5361,2013,283
200,5196,2027,221
200,4855,2027,67
200,5302,2027,65
200,5674,2027,21
200,5196,2027,221
200,4942,2027,1057
200,4978,2027,4
200,5515,2027,15
200,4855,2027,67
200,5842,2027,20
200,5428,2027,294
